,Ids,Surface_dice_1,Surface_dice_2,Surface_dice_3
0,Patient_84116,0.46118823572692014,0.6287804136622818,0.7528243372991641
0,Patient_115615,0.43936626186021577,0.5985227751945698,0.7416667375795136
0,1164_18,0.6798890610790208,0.8737661444284129,0.9748110821909599
0,197_19_,0.6201691904911508,0.7501444400118649,0.8439004002314605
0,1258_19_4,0.3716045938303364,0.5357676201987815,0.7088118353888855
0,1043_18_4,0.6978942930876664,0.8150434980818294,0.9078099626608128
0,Patient_154816,0.5555372544940071,0.77833087409882,0.9165688704609595
0,Patient_76516,0.5485342144304459,0.7844987383684533,0.9327491752548276
0,Patient_69516,0.6539529698635688,0.8204203325161684,0.936105261641121
0,606_19_4,0.6460107121459959,0.7765847138451111,0.8550399276016443
0,705_18_4,0.1876284110534518,0.2742484932922681,0.36642496856580886
0,Patient_69515,0.29677389359291784,0.47128879995244305,0.6435740283882814
0,8_19,0.4775571360001746,0.6198410166359558,0.7417356191674036
0,Patient_17717,0.4661081267935903,0.6749779095388819,0.8485315101394438
0,Patient_161316,0.6638090165998074,0.8529455701596302,0.9436961038331264
0,Patient_53915,0.42896993942165856,0.6166449865043636,0.7680626931382162
0,Patient_50815,0.10508158439960526,0.17299014913756616,0.25994054229089253
0,138_19_4,0.7585908374177066,0.9029889443125744,0.9586291315441279
0,555_19_4,0.42923864555304186,0.6248701352871158,0.7417575678654671
0,195_19_4,0.4880201461283259,0.6137752337632889,0.7043354517630744
0,1229_19_4,0.25716730166700885,0.3788518244800367,0.47620619372226236
0,1573_18_4,0.6121809253854138,0.7787460338290659,0.894019129584714
0,Patient_41813,0.4243543891664071,0.6555080544015792,0.8525334016437051
0,Patient_65914,0.2352802827118656,0.3793214998056323,0.5128349698279888
0,Patient_12417,0.717267846339506,0.8838002236285251,0.957026767757796
0,Patient_50214,0.39097817846957794,0.5756716909752367,0.7532022726655319
0,1635_18,0.6752068016155205,0.8715907428378307,0.9596840233582569
0,Patient_107414,0.4537614741565972,0.6807386844108398,0.8515248285001544
0,1146_19_4,0.7805618695652805,0.913009232535208,0.9639693587973531
0,Patient_2514,0.4553890143050042,0.6238742575968176,0.749305868276041
0,729_18_4,0.6167231967009489,0.8036481092626164,0.9079893057924685
0,Patient_140915,0.3639261337565287,0.5220385948016406,0.6412789925461141
0,1266_19_4,0.11476528844584023,0.19610995730890618,0.33604488215892164
0,Patient_75116,0.28772970933738107,0.45365485951984147,0.6696412498068952
0,Patient_101916,0.5201356832009704,0.7188861164760809,0.8800788555023927
0,309_19_4,0.5733814921071055,0.7627156760455015,0.8588681076047413
0,Patient_92114,0.5227125034675253,0.7202172249086296,0.8805480962077097
0,Patient_59315,0.276402677757697,0.39276541649105173,0.5153421034300443
0,Patient_89015,0.4848417022651914,0.6887950626103716,0.8515214580738053
0,713_18_4,0.648728708676265,0.8323161906003785,0.9261621963593498
0,Patient_146716,0.5045822162532795,0.6931684327348814,0.8377138141033834
0,1464_18_4,0.5102026741159562,0.6676903228832369,0.7652311536821016
0,831_19_4,0.529768210534817,0.6648581414783356,0.7472044254581607
0,634_19_4,0.4682431616260445,0.6504545421388171,0.816218711497042
0,Patient_57713,0.6619005133782763,0.8764434791934779,0.9599191356227426
0,1394_19_4,0.5469865242865383,0.7861855274306931,0.921248054569074
0,Patient_138516,0.5590642764926046,0.7831628223908134,0.939730613379666
0,1463_18_4,0.5893944093904081,0.7730577222388973,0.9020557202359322
0,1750_18_4,0.599904809593797,0.7323730315075886,0.8190243626018501
0,32_19_4,0.49554948379936237,0.6518047355450621,0.7480138043635803
0,Patient_119115,0.5129561600198029,0.6966973508600124,0.8457086556653152
0,Patient_80117,0.2870416880964868,0.44263299139603063,0.5804600744403478
0,Patient_45217,0.6901893345553952,0.8809889378782819,0.9601330419505405
0,299_19,0.6041456525824623,0.7677288248480093,0.8838918099482748
0,Patient_136915,0.4453602752203057,0.6545636596330251,0.812116522053283
0,Patient_71915,0.4054700005057253,0.6090179600050006,0.7846455498008561
0,Patient_1001316,0.538654688166483,0.7256007147382337,0.8458726637299933
0,Patient_90014,0.29904514503742224,0.4440085278117199,0.5994617400416736
0,1216_18,0.5004212811549165,0.7078051488347256,0.8237528295629101
0,1685_18_4,0.3923080182548235,0.5604251999795014,0.706663293771622
0,Patient_49617,0.6095084045351759,0.7960489224439801,0.9057612198980596
0,Patient_62615,0.5044355020969044,0.6881580148673289,0.8231077117022172
0,923_18,0.539246247467044,0.6792956537093864,0.7997734082512837
0,1539_18,0.36516371767441197,0.5438372808957577,0.6746761514253855
0,Patient_18215,0.4019451844986119,0.6015637125618438,0.7716589682100925
0,Patient_125416,0.4711878431857281,0.6465180074993085,0.7874218266928149
0,Patient_110816,0.40200353473194494,0.5812340322977155,0.7318080895993879
0,Patient_102117,0.43792314114930847,0.6254404791716902,0.7769615077297525
0,Patient_129316,0.2151731028854778,0.3501651112967395,0.5401164924631082
0,573_18_4,0.5805604159195998,0.7548120087951188,0.8772790746405885
0,1326_18,0.2959191769925638,0.4315877367886682,0.6328646698803665
0,Patient_136415,0.5397479005015297,0.7049904479045674,0.8216086723555057
0,1056_18_4,0.6858962224649182,0.7978357117126854,0.8603026973962068
0,1151_19_4,0.6816451448571236,0.8349666175931167,0.9329679082996145
0,946_18,0.44827116396642386,0.6282039787484638,0.7693892356827281
0,Patient_71212,0.5659865151942468,0.7472263158260825,0.8710197783116395
0,1230_19_4,0.5740711764659027,0.7536699334721075,0.8791875660320045
0,Patient_48517,0.30133288531896235,0.48079544291614384,0.6827158052328092
0,1214_18,0.6408929806676721,0.8244426846345787,0.934938813103923
0,Patient_88917,0.3059408057257618,0.4660411180854018,0.5556667200626132
0,1541_18_4,0.5281455948264935,0.6957832736954627,0.8193081189447606
0,1470_18_4,0.44487803064190945,0.5910012600369043,0.7042034748065802
0,Patient_111016,0.43778682426864274,0.6566502508706644,0.8104648849344676
0,Patient_48417,0.3639327089403217,0.5553828605621622,0.7526155719726716
0,Patient_97416,0.3741237676319407,0.54129645894391,0.7290494181744005
0,1184_18,0.618144356283219,0.7702420737595741,0.8321938569281802
0,10_19_4,0.6136041756386839,0.8381030456834131,0.963264659999824
0,90_19,0.4451315560637519,0.589006266625225,0.6949296529585561
0,575_18_4,0.4441798713778909,0.6460507488967887,0.8149336971056389
0,1770_18_4,0.4485102092708167,0.6185870921606328,0.7555782149319147
0,255_18,0.6132913777144637,0.7888508384148833,0.9293088781661507
0,Patient_66615,0.4970531225197178,0.7066133806287109,0.8627201552357759
0,Patient_136715,0.5744790448640879,0.7875169431250268,0.9142540887181706
0,Patient_108316,0.35023161154670945,0.4941914144423621,0.6365254353880655
0,Patient_122315,0.1856537323615279,0.3581831078371708,0.5779548328422668
0,377_19_4,0.5313997285094251,0.6455278526379941,0.7147367963521103
0,1566_18,0.578410522326174,0.7545311701302715,0.8616235344061474
0,925_18_4,0.5509058449543996,0.6837589942573211,0.7939492131953291
0,747_19_4,0.8110374603573886,0.9287070169750263,0.9689512518338728
0,672_18_4,0.4546949641041979,0.5770833589494322,0.6828717841620471
0,541_18,0.585734466811018,0.8102838786048647,0.9433267984352147
0,Patient_31315,0.46869170882121813,0.6813757348344818,0.8511795722088301
0,1393_19_4,0.6175019941613736,0.7878850880274593,0.8675332966129151
0,1743_18_4,0.3060486509664774,0.41449206750355255,0.515078929969754
0,Patient_3614,0.46514250760451104,0.6888234978867072,0.8456452359020857
0,826_19,0.6893756681056256,0.8576766526810576,0.9538284614309994
0,1170_18_4,0.2875275075868802,0.3910594755530976,0.4893058085315843
0,Patient_22117,0.47018562952930293,0.6550863700734048,0.8085237968072264
0,17_19_,0.20264206586207445,0.34014107528357884,0.5285636967275505
